y=931, x=455..475
x=475, y=1430..1432
y=1820, x=539..542
x=414, y=1931..1933
x=567, y=269..278
y=592, x=471..477
x=440, y=1551..1555
x=443, y=380..392
x=411, y=255..266
x=556, y=814..824
x=515, y=97..100
x=498, y=141..153
y=1286, x=571..584
x=374, y=1188..1190
x=429, y=715..742
x=448, y=849..862
y=710, x=531..533
x=492, y=1338..1348
x=507, y=195..206
x=407, y=1562..1587
y=97, x=513..515
x=550, y=1434..1452
x=475, y=1787..1797
x=521, y=1580..1603
x=516, y=513..518
x=383, y=714..725
x=361, y=818..827
y=445, x=515..521
x=512, y=342..352
x=544, y=1918..1920
y=969, x=533..556
y=927, x=479..489
y=1185, x=579..587
y=909, x=390..406
y=272, x=349..351
x=460, y=1240..1242
y=1042, x=573..586
x=560, y=468..471
x=494, y=216..225
x=394, y=379..395
y=1819, x=404..422
y=1620, x=435..437
x=379, y=1895..1899
x=388, y=361..367
x=558, y=371..391
y=860, x=522..528
x=569, y=56..82
y=50, x=533..558
y=659, x=393..412
x=387, y=1547..1566
y=1548, x=485..497
x=528, y=858..860
x=395, y=1283..1287
x=411, y=1448..1451
x=530, y=132..142
y=909, x=441..468
x=400, y=1440..1454
x=386, y=56..64
x=364, y=439..453
x=386, y=254..266
y=1729, x=484..492
x=387, y=1914..1927
x=354, y=349..374
x=523, y=1205..1226
x=485, y=425..432
y=655, x=506..509
y=1749, x=391..402
y=733, x=407..426
x=369, y=1998..2008
x=567, y=608..623
x=501, y=567..591
y=264, x=484..486
y=815, x=404..406
x=359, y=2017..2025
x=438, y=1485..1499
x=365, y=1342..1368
y=41, x=475..491
x=437, y=1254..1264
x=354, y=252..261
y=1738, x=425..446
y=286, x=485..502
y=76, x=478..480
y=1555, x=438..440
x=357, y=1427..1445
x=503, y=233..241
x=563, y=537..543
x=522, y=344..355
x=503, y=551..560
y=991, x=475..481
y=1240, x=460..462
y=162, x=517..519
y=395, x=481..531
x=467, y=1013..1033
y=1374, x=496..504
y=81, x=486..492
y=1862, x=527..555
x=429, y=895..898
x=490, y=1473..1488
x=582, y=1943..1968
y=1216, x=388..390
x=367, y=1763..1771
x=396, y=1096..1113
y=288, x=447..470
x=463, y=1195..1197
x=377, y=1802..1817
x=475, y=978..991
x=542, y=1794..1820
y=156, x=472..475
x=556, y=939..941
x=527, y=1560..1563
x=423, y=912..940
x=568, y=1366..1374
x=448, y=1998..2002
y=218, x=377..381
x=412, y=998..1024
y=432, x=485..487
x=454, y=1868..1892
x=426, y=1751..1754
x=360, y=1665..1688
x=377, y=1665..1688
x=515, y=1668..1691
y=1917, x=466..480
y=1817, x=351..377
x=483, y=50..61
y=260, x=373..375
x=566, y=440..462
x=513, y=1413..1422
y=846, x=531..549
y=589, x=427..430
x=513, y=1138..1150
x=437, y=215..226
x=392, y=1025..1051
x=442, y=645..655
y=1857, x=389..407
x=484, y=652..657
x=443, y=727..736
x=383, y=908..924
x=406, y=813..815
y=716, x=370..377
x=556, y=955..969
y=1024, x=412..419
y=543, x=513..533
y=1218, x=388..390
x=475, y=153..156
x=533, y=906..921
x=410, y=313..324
x=492, y=1258..1285
x=522, y=1380..1387
x=561, y=1484..1487
y=1389, x=380..398
x=467, y=1605..1608
x=472, y=830..840
x=487, y=745..756
x=518, y=750..763
x=462, y=513..534
x=531, y=381..395
x=427, y=1257..1267
x=385, y=1069..1074
y=1427, x=532..536
x=471, y=592..594
y=255, x=539..566
y=23, x=352..377
y=861, x=354..370
y=1757, x=504..521
x=365, y=1059..1082
x=556, y=879..884
x=371, y=1188..1190
x=494, y=978..995
x=372, y=1869..1881
y=521, x=412..414
x=529, y=1098..1105
y=1786, x=569..585
x=491, y=1817..1829
y=496, x=542..562
x=512, y=1693..1709
x=444, y=144..148
x=368, y=872..895
x=488, y=1944..1961
x=380, y=460..467
y=1127, x=543..553
x=483, y=1445..1449
y=649, x=519..539
x=551, y=681..690
x=557, y=745..759
x=525, y=661..674
x=539, y=1794..1820
x=533, y=1510..1533
y=1514, x=439..454
x=557, y=978..986
y=225, x=572..589
x=405, y=1507..1519
x=509, y=327..330
y=1902, x=538..550
x=559, y=441..462
y=1970, x=428..435
x=498, y=1190..1205
y=1674, x=484..510
x=579, y=785..810
y=1720, x=433..452
x=573, y=337..340
x=426, y=687..704
x=465, y=1672..1681
x=427, y=850..862
y=180, x=506..509
x=428, y=1967..1970
y=1688, x=360..377
x=547, y=1263..1273
x=586, y=1028..1042
y=1358, x=354..358
y=603, x=559..567
x=569, y=1580..1593
y=968, x=477..479
x=443, y=1233..1245
x=411, y=163..173
x=477, y=542..560
x=370, y=1571..1595
x=540, y=270..278
x=527, y=1755..1777
x=498, y=1432..1437
x=348, y=1166..1175
x=568, y=1447..1449
x=367, y=1167..1175
x=349, y=1461..1466
x=476, y=257..268
x=578, y=215..218
x=472, y=153..156
x=563, y=1484..1487
x=470, y=281..288
x=402, y=1150..1162
x=508, y=551..560
y=822, x=442..465
x=497, y=1527..1548
x=540, y=831..843
y=1431, x=390..413
y=1993, x=584..591
x=567, y=934..948
x=376, y=624..642
x=541, y=723..736
y=1892, x=445..454
y=1709, x=489..512
x=548, y=765..776
x=354, y=1012..1037
x=537, y=1669..1691
x=370, y=74..99
y=137, x=518..523
x=429, y=313..324
x=485, y=445..455
y=283, x=492..495
x=364, y=139..160
y=1248, x=408..416
x=481, y=382..395
y=702, x=359..384
y=1850, x=363..372
y=367, x=388..411
y=715, x=485..489
y=1411, x=381..400
y=1195, x=505..510
x=486, y=934..948
x=391, y=1459..1468
x=490, y=1984..2002
x=563, y=551..563
y=455, x=485..488
x=564, y=1917..1920
x=355, y=140..160
y=252, x=422..427
x=358, y=289..294
x=518, y=1601..1609
x=440, y=1146..1161
x=506, y=1354..1359
x=386, y=1891..1904
x=386, y=1374..1384
x=502, y=1783..1794
x=489, y=706..715
x=461, y=132..136
x=389, y=1374..1384
x=354, y=860..861
x=521, y=94..103
x=368, y=1460..1466
x=357, y=1085..1106
x=520, y=769..779
y=1027, x=500..508
x=399, y=550..569
x=544, y=358..366
y=2002, x=445..448
x=384, y=520..529
y=1822, x=551..556
x=512, y=71..82
y=643, x=527..530
y=1162, x=382..402
y=61, x=483..503
y=1221, x=502..513
y=563, x=404..409
x=447, y=1575..1577
x=517, y=1338..1364
x=491, y=29..41
x=424, y=1341..1344
x=406, y=1176..1178
x=385, y=1281..1290
x=447, y=20..27
x=586, y=1505..1515
x=555, y=56..82
x=386, y=158..177
x=351, y=269..272
y=1351, x=371..393
y=1791, x=523..530
x=566, y=242..255
x=492, y=256..268
y=911, x=559..562
y=1835, x=431..454
x=404, y=948..959
x=407, y=718..733
x=449, y=1172..1184
x=385, y=185..207
x=546, y=1215..1240
x=521, y=1933..1955
x=547, y=1580..1593
y=188, x=348..357
x=433, y=1711..1720
x=371, y=1332..1351
x=497, y=1138..1150
x=376, y=1472..1473
x=539, y=1558..1572
x=455, y=1130..1139
x=360, y=1996..2005
x=422, y=1355..1369
y=1562, x=421..447
x=407, y=739..760
y=1764, x=571..582
x=383, y=1715..1717
x=524, y=553..566
x=361, y=1374..1378
x=537, y=1094..1114
y=716, x=388..395
y=818, x=448..456
x=587, y=494..496
x=576, y=8..30
x=396, y=899..903
y=733, x=551..555
y=1408, x=391..393
x=510, y=1529..1535
y=103, x=505..521
y=875, x=515..517
x=349, y=286..306
x=419, y=1687..1690
x=552, y=888..899
x=383, y=1462..1471
x=475, y=1675..1685
x=558, y=24..50
x=445, y=1999..2002
y=1622, x=364..375
x=427, y=587..589
x=409, y=1054..1058
x=580, y=503..512
x=454, y=1631..1642
x=513, y=7..21
x=357, y=661..665
x=502, y=1530..1535
y=1566, x=378..387
y=1906, x=575..588
x=507, y=493..495
x=569, y=1481..1504
x=493, y=543..560
y=1445, x=357..360
y=340, x=404..426
x=477, y=1526..1543
x=418, y=1394..1416
y=396, x=425..430
y=1490, x=529..548
x=534, y=658..670
y=694, x=541..561
x=443, y=1612..1623
y=518, x=516..525
x=550, y=1317..1319
x=462, y=1240..1242
y=1205, x=480..498
y=1988, x=538..542
y=1771, x=360..367
x=579, y=1045..1059
y=1794, x=499..502
x=480, y=1021..1032
x=494, y=1258..1285
x=407, y=1877..1881
y=1280, x=526..542
x=413, y=1619..1621
x=420, y=1956..1981
x=406, y=888..909
y=1642, x=416..421
y=330, x=509..512
y=1327, x=455..477
x=498, y=746..756
y=1685, x=456..475
x=410, y=578..592
y=382, x=378..381
x=430, y=464..466
y=1735, x=435..440
x=512, y=1814..1826
x=523, y=1185..1197
x=389, y=1868..1881
x=524, y=792..804
x=494, y=772..776
x=570, y=770..774
x=443, y=1256..1267
y=215, x=578..583
y=1245, x=443..468
x=573, y=1028..1042
y=1955, x=503..521
x=372, y=1895..1899
y=746, x=351..356
y=1473, x=367..376
y=1074, x=575..584
x=522, y=1557..1572
y=118, x=527..534
y=429, x=422..437
y=1519, x=405..422
y=684, x=466..483
y=245, x=492..512
x=590, y=1205..1216
y=819, x=483..510
x=364, y=498..522
x=399, y=138..155
x=492, y=1943..1961
y=1411, x=482..506
y=30, x=576..591
y=1535, x=502..510
x=386, y=946..962
x=359, y=1734..1757
y=790, x=368..394
y=1853, x=397..400
y=1516, x=410..414
x=554, y=1262..1273
x=515, y=875..877
x=361, y=56..64
x=386, y=739..765
x=488, y=981..994
y=1036, x=524..546
x=359, y=683..702
x=378, y=1546..1566
x=388, y=1216..1218
y=506, x=471..490
y=2005, x=355..360
x=365, y=1958..1969
x=584, y=1989..1993
x=551, y=1814..1822
y=872, x=476..480
x=377, y=196..198
x=416, y=1238..1248
y=755, x=549..551
x=459, y=1773..1776
x=415, y=467..483
y=1504, x=554..569
y=657, x=484..495
x=500, y=910..923
x=553, y=681..690
y=1409, x=564..567
y=591, x=499..501
x=537, y=768..781
y=526, x=552..561
x=468, y=1693..1703
x=486, y=254..264
y=324, x=456..461
y=23, x=582..585
y=941, x=556..559
y=784, x=472..477
x=404, y=872..878
x=471, y=624..641
y=385, x=510..522
y=1478, x=537..542
x=430, y=587..589
x=531, y=477..481
y=1025, x=500..508
x=440, y=1733..1735
x=544, y=552..566
x=542, y=372..391
x=526, y=1722..1730
x=508, y=1848..1862
x=412, y=1463..1474
x=572, y=1701..1709
x=445, y=1019..1034
x=591, y=9..30
x=540, y=1756..1777
y=926, x=359..369
x=356, y=722..746
x=449, y=1575..1577
x=426, y=337..340
x=587, y=1335..1339
x=360, y=1764..1771
y=317, x=384..407
x=430, y=221..223
y=1174, x=470..484
x=520, y=320..333
x=533, y=23..50
x=444, y=1208..1215
y=340, x=571..573
x=568, y=1187..1200
y=268, x=476..492
x=541, y=683..694
x=462, y=1253..1272
x=387, y=422..450
y=1427, x=401..403
y=376, x=478..484
x=375, y=1057..1079
x=428, y=1654..1666
x=559, y=765..778
x=558, y=864..872
y=713, x=521..541
x=556, y=842..849
x=377, y=832..844
y=1254, x=371..386
x=388, y=712..716
x=426, y=717..733
x=584, y=1421..1446
y=1691, x=515..537
x=398, y=1887..1897
y=1424, x=401..403
x=544, y=1202..1206
x=525, y=513..518
y=212, x=567..569
x=545, y=1685..1699
y=1612, x=455..474
y=1925, x=429..433
x=546, y=765..776
x=522, y=528..540
x=377, y=1086..1106
x=421, y=1548..1562
x=488, y=833..837
x=506, y=180..182
y=1515, x=574..586
x=351, y=1978..1987
y=849, x=556..584
x=552, y=517..526
x=431, y=1827..1835
x=468, y=405..419
x=424, y=167..169
y=21, x=491..513
x=405, y=1448..1451
x=373, y=1560..1567
x=533, y=530..543
y=1454, x=400..426
y=872, x=558..561
x=488, y=1740..1749
x=400, y=602..612
x=513, y=1211..1221
y=959, x=392..404
x=521, y=975..981
x=583, y=215..218
x=553, y=1685..1699
x=571, y=1266..1286
x=478, y=412..414
x=369, y=905..926
x=435, y=164..173
x=495, y=1464..1479
y=1699, x=545..553
x=391, y=1740..1749
y=368, x=444..451
x=530, y=658..670
y=464, x=430..433
x=425, y=1876..1881
x=451, y=1525..1543
x=367, y=240..265
x=499, y=1784..1794
y=941, x=432..437
y=1312, x=393..399
y=642, x=349..376
x=399, y=1293..1312
y=1117, x=469..471
y=227, x=456..479
x=363, y=713..725
y=500, x=496..517
x=351, y=723..746
